Character	Positive Counterpart	Negative Counterpart
Salvador Dali	Pablo Picasso	Bridget Jones
Sam Spade	Philip Marlowe	Queen Elizabeth I
Philip Marlowe	Miss Jane Marple	Humphrey Bogart
Samson	Xena	Neville Chamberlain
Samuel Johnson	Mark Twain	Norma Desmond
Samuel Pepys	Ellen Ripley	 
Santa Claus	Lizzy Bennet	"Jeff ""Comic Book Guy"" Albertson"
Sarah Palin	Hugh Grant	Paris Hilton
Savonarola	Ayatollah Khomeini	Angelina Jolie
Scipio Africanus	Bobby Fischer	Doris Day
Sean Connery	Hugh Grant	 
Seth MacFarlane	Tina Fey	Adam Sandler
Matt Groening	Jerry Seinfeld	Liz Lemon
Sherlock Holmes	Saga Norén	Dr. Greg House
Shirley Temple	Stevie Wonder	Cameron Diaz
Sid Vicious	Emma Bovary	Beetlejuice
Sigmund Freud	Charles Darwin	Mae West
Simon Cowell	Rush Limbaugh	Ann Coulter
Sheldon Cooper	Frank Columbo	Bridget Jones
Leonard Hofstadter	Bertie Wooster	Edith Piaf
Spongebob Squarepants	Kenneth Parcell	Chelsea Manning
Stan Lee	Charlie Chaplin	Dolly Parton
Squidward Tentacles	 	 
Stephen Colbert	Sarah Silverman	Donald Trump
Stephen Hawking	Professor Charles Xavier	Julia Roberts
Mr. Krabs	Warren Buffett	 
Steve Ballmer	Elton John	Dian Fossey
Steve Jobs	Tony Stark	Dian Fossey
Steve Martin	Mae West	Weird Al Yankovic
Steven Spielberg	Rush Limbaugh	Florence Nightingale
Stewie Griffin	Jor El	Lisbeth Salander
Sun Tzu	Queen Elizabeth I	Donald Rumsfeld
Svengali	Grigori Rasputin	Coco Chanel
Sylvester Stallone	John Rambo	Sarah Palin
John Rambo	Sylvester Stallone	Sarah Palin
Tarzan	Hulk Hogan	Pocahontas
Theodore Roosevelt	Ernest Hemingway	Judge Judy Sheindlin
Thomas Edison	Emily Dickinson	Don King
Thomas Pynchon	William Shakespeare	Emily Dickinson
Tiger Woods	Lara Croft	Tom Jones
Tina Turner	Edith Piaf	Al Pacino
Tom Cruise	Madonna	Daniel Day-Lewis
Tom Hanks	Heath Ledger	Cameron Diaz
Tom Jones	Ricky Martin	Anna Karenina
Tom Sawyer	Bart Simpson	 
Tom Waits	Madonna	Leonard Cohen
Tony Blair	Ann Coulter	Bill Clinton
Huckleberry Finn	Katniss Everdeen	The Artful Dodger
Tony Robbins	Buddha	Bridget Jones
Tony Soprano	Violet Baudelaire	Mike Tyson
Tony Stark	Grace Hopper	Sergey Brin
Tomás de Torquemada	Joan of Arc	Al Capone
Leon Trotsky	Vladimir Lenin	Emily Dickinson
Tony Montana	King Richard III	Xena
Victor Meldrew	Sylvia Plath	Squidward Tentacles
Vincent Van Gogh	Salvador Dali	Holly Golightly
Virginia Woolf	Salman Rushdie	Sylvia Plath
Vladimir Lenin	Leon Trotsky	Catherine The Great
Vladimir Putin	Aung San Suu Kyi	Benito Mussolini
Voltaire	Virginia Woolf	Allan Quatermain
Carl Von Clausewitz	Miss Jane Marple	Ariel Sharon
Walt Disney	Kim Kardashian	Christian Grey
Walt Whitman	Lord Byron	 
Walter White	Miss Jane Marple	Frank Underwood
Warren Buffett	Lucille Ball	 
Wayne Gretzky	Michael Jordan	 
Wayne Rooney	Bruce Lee	Dame Edna Everage
Weird Al Yankovic	Benny Hill	Lucille Ball
Will Smith	Heath Ledger	Angela Merkel
William Randolph Hearst	Imelda Marcos	Rupert Murdoch
William Shakespeare	Salman Rushdie	Mae West
William Shatner	Dame Edna Everage	David Hasselhoff
Willy Wonka	Doris Day	Robinson Crusoe
Winston Churchill	Virginia Woolf	Enrico Caruso
Wolfgang Amadeus Mozart	Niccolò Paganini	Mae West
Kenny G	Dolly Parton	Green Lantern
Woody Allen	Dame Edna Everage	Kim Jung-un
Woody Guthrie	Dolly Parton	Gandalf the Grey
Wyatt Earp	Peter Pan	Maleficent
Yogi Berra	Ellen DeGeneres	Yoda
Zsa Zsa Gabor	Kim Kardashian	Ryan Reynolds
Pinocchio	Bart Simpson	Rosa Parks
Yoda	Albus Dumbledore	Edith Piaf
Saul Goodman	Yogi Berra	Coco Chanel
Stanley Kowalski	Anna Karenina	John Wilkes Booth
Blanche DuBois	Grace Kelly	George Washington
Ron Burgundy	Courtney Love	Silvio Berlusconi
Rain Man	Florence Nightingale	Larry David
Inspector Gadget	Wile E. Coyote	Jenna Maroney
Professor Hans Zarkov	Peter Parker	 
H.A.L. 9000	Dexter Morgan	Martha Stewart
Walter Mitty	Frida Kahlo	Dan Quayle
Xena	Modesty Blaise	Genghis Khan
Inspector Jacques Clouseau	Alan Partridge	Diana Ross
Joey Tribbiani	Barney Rubble	Jenna Maroney
Chandler Bing	Adam Sandler	Tina Fey
Monica Geller	 	 
Ross Geller	Lara Croft	Donald Trump
Rachel Green	Coco Chanel	Derek Zoolander
Phoebe Buffay	Ophelia	Forrest Gump
Liz Lemon	Tina Fey	Bill Gates
Jack Donaghy	Cersei Lannister	Han Solo
Tracy Jordan	Dorothy Parker	Elmer Fudd
Jenna Maroney	Meghan Markle	Tracy Jordan
Kenneth Parcell	Phoebe Buffay	Bradley Manning
Mr. Spock	Walter White	Lara Croft
