Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
fighting against totalitarianism	admire, respect, look_up_to, support	rise up, rebel against, speak out, revolt, rise against	dissent, free speech, freedom of expression, democracy, antifa	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	anti-totalitarian, anti-authoritarian, antitotalitarian, antiauthoritarian	anti-totalitarian, anti-authoritarian, antitotalitarian, antiauthoritarian	fight_with	look_up_to	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting barbarian hordes	admire, respect, champion	repel, push back, cast out, fight, defeat	civilisation, culture, civilization	barbarian hordes,  hordes, barbarians, barbarism	fighter, warrior, knight, culture warrior	heroic, staunch, resolute, brave, civilized, civilised	fight_with	obey	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting Carthaginians	admire, respect, remember	repel, push back, cast out, fight, defeat	Roman culture, Rome, Punic wars, Pax Romana, Roman empire	Carthaginians, Carthage, Hannibal	fighter, warrior, knight	heroic, staunch, resolute, brave, civilized, civilised	fight_with	look_up_to	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting civil wars	sympathize_with	fight against, break away, break away from, break from, secede, fall out with	harmony, unity, secession	civil war, disharmony, disunity	partisan, secessionist	internecine	fight_with, believe_in		turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting decepticons	admire, respect, champion, support	unmask, fight, fight with, ally, ally with	autobots, robots in disguise, evil robots	decepticons	transformer, robot in disguise, autobot, giant robot	transformative	fight_with		turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting for civil rights	admire, respect, look_up_to	stand up to, stand up for, defend, protect, change the world, fight, fight for, protest	civil rights, democract, freedom of speech, freedom of expression, freedom of assembly, liberty, freedom	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	civil rights campaigner, social campaigner, civil rights activist, social activist	civic-minded, socially-conscious, noble, noble-minded, idealistic	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting for democracy	admire, respect, look_up_to	stand up to, stand up for, defend, protect, liberate, fight, fight for	civil rights, democract, freedom of speech, freedom of expression, freedom of assembly, liberty, freedom, antifa	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	democrat, freedom fighter	democratic, idealistic	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting for justice	admire, respect, look_up_to	stand up to, stand up for, defend, protect, liberate, fight, fight for	justice, law, rule of law, law and order	injustice, crime, criminality	campaigner for justice, paladin	justice-minded, idealistic	fight_with, advocate_for, believe_in	are_freed_by, are_inspired_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting for liberty	admire, respect, look_up_to	fight for, defend, liberate	civil rights, democract, freedom of speech, freedom of expression, freedom of assembly, liberty, freedom	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	democrat, freedom fighter, libertarian, goody goody, goodie goodie, goody two shoes, goodie two shoes, martyr	democratic, idealistic	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by,  are_freed_by,	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting for the resistance	admire, respect, look_up_to	resist, rebel against, stand up to, stand up for, fight, fight for	dissent, rebellion, revolution, resistance	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	resistance fighter, rebel, resister, rebel acum, freedom fighter	idealistic, dissenting, resistetnt, resistant	fight_with, leak_to, snitch_to, tip_off		spy_on, betray, are_betrayed_by
fighting for worker's rights	admire, respect, look_up_to, sympathize_with	advocate for, advocate, fight, fight for, strike, go on strike	worker's rights, fair pay, unions, collective bargaining, wildcat strikes, picket lines, industrial action, paid leave, labor unions, labour unions	low pay, big business, oppression, slavery, exploitation	worker's rights campaigner, worker's rights advocate, worker's rights activist, labor activist, labour activist, striker	pro-worker, strident, idealistic	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
