Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
organizing prison breaks	admire	break out, escape, get out, get away, tunnel	prison breaks, escapology, tunnels, escape tunnels, freedom, liberty	prison, jail, gaol, imprisonment, incarceration, prison guards, solitary confinement	escapee, escaped convict	elusive, slippery, digging tunnels	conspire_with, collude_with		escape_from, snitch_on
over-achieving at school	admire, respect	achieve, reach the top, excel, succeed, 	over-achieving, ambition, hardworkm, hard work,  exams, school exams, valedictorians, overachievement, over-achievement,	slackers, slouches, underachievers, underachievement, jocks, cheerleaders	overachiever, over-achiever	overachieving, driven, ambitious, hardworking, hard-working	compete_with, are_impressed_with		compete_against, fail_to_impress, condescend_to
over-acting	dislike, laugh_at, joke_about	emote, weep, declaim	overacting, over-acting, ham acting, histrionics, tear jerkers, tearjerkers	subtlety, realism, oscars, academy awards, naturalism, method acting	ham, ham actor, big ham, 	unrealistic, overdone, excessive, phony, hammy	perform_with	are_moved_by	condescend_to
painting abstract paintings	admire	paint, confuse, mystify, puzzle, symbolize	abstract art, modern art, cubism, avant garde, modernism, abstraction, postmodernism, fauvism	classical art	modern artist, abstract artist, abstract painter, modern painter, modernist, artist, painter	abstract, avant garde, arty, artsy farty	pose_for	misrepresent, are_misrepresented_by	paint, are_painted_by
painting abstract pictures	admire	paint, confuse, mystify, puzzle, symbolize	abstract art, modern art, cubism, avant garde, modernism, abstraction, postmodernism, fauvism, surrealism, visual metaphors	folk art, classical art	modern artist, abstract artist, abstract painter, modern painter, modernist, artist, painter, surrealist	abstract, avant garde, arty, artsy farty	study_under, learn_from	misrepresent, are_misrepresented_by	paint, are_painted_by
painting church ceilings	admire, respect, look_up_to	worship, devote, decorate, paint	churches, church ceilings, religious art, religion, devotion, spiritual art, Sistine chapel, frescoes	atheism	artist, painter, religious painter, religious artist	artistic, devout, religious	study_under, learn_from		paint, are_painted_by
painting colorful pictures	admire, remember	paint, illuninate, illustrate	art, painting, palettes, colours, colors, vividness, pop art, rainbows, chocolate boxes		artist, painter, visual artist	artistic, colorful, vivid	study_under, learn_from		paint, are_painted_by
painting dark pictures	dislike, fear, 	paint, picture, shroud, darken	chiaroscuro, shadows, murk, gloom	pastels, rainbows, unicorns, tellytubbies, telly tubbies, teletubbies	artist, painter, visual artist	dark, artistic, gloomy	study_under, learn_from		paint, are_painted_by
painting folksy pictures	dislike	depict, sketch, illustrate, paint	folk art, middle America, cliché, cliches, Americana, nostalgia	abstract art, modern art, cubism	artist, painter, visual artist	folksy, quaint, twee, conservative	study_under, learn_from		paint, are_painted_by
painting magazine covers	dislike	paint, illustrate	magazines, magazine covers, 		artist, painter, visual artist, commercial artist, illustrator	artistic, commercial, visual	study_under, learn_from	are_published_by	paint, are_painted_by
painting melancholy pictures	dislike, fear, 	depress, paint, 	sadness, melancholy, gloom, pessimism, sad pictures, depressing pictures, depression	happiness, optimism	artist, painter, visual artist	sad, melancholy, gloomy, depressed	study_under, learn_from		paint, are_painted_by
painting over photographs	disrespect	paint over, paint	painting by numbers, palimpsest	abstract art, modern art, cubism	artist, painter, visual artist	uninventive, derivative	photograph, are_photographed_by	are_published_by	condescend_to, are_criticized_by, copy, are_copied_by, imitate, are_imitated_by
painting realistic pictures	respect, admire	depict, photograph, paint, reflect	realism, photorealism, photo-realism	abstract art, modern art, cubism	artist, painter, visual artist	realistic, observant, detail-oriented	study_under, learn_from	photograph	paint, are_painted_by
painting self-portraits	respect	reflect, introspect, look inward, paint	self portraits, reflection, introspection,		artist, painter, visual artist, portraitist	reflective, introspective, 	study_under, learn_from		
painting soup cans	question, laugh_at, joke_about	paint, depict, sell out	pop art, modern art, consumerism,  postmodernism	abstract art, abstraction, modernism	artist, painter, visual artist	hip, trendy, modern, new wave, avant garde	study_under, learn_from		condescend_to, are_criticized_by, copy, are_copied_by, imitate, are_imitated_by
painting surreal pictures	respect, admire	paint, challenge, confuse, mystify,	surrealism, absurdity, incongruity, impossibility, paradox	reality, the real world, realism, photorealism, photo-realism	weirdo, oddball, surrealist, painter, modern painter	surreal, weird, odd, incongruous	study_under, learn_from		condescend_to, are_criticized_by, copy, are_copied_by, imitate, are_imitated_by
parodying songs	laugh_at	make fun, poke fun, parody, mock, 	parodies, satire, comic songs, novelty songs, satirical songs	seriousness, solemnity	parodist, comic singer	parodic, satirical, funny, humorous, 	sing_with		copy, are_copied_by, imitate, are_imitated_by, are_sued_by
partying on yachts	admire, respect	party, socialise, socialize, hobnob, schmooze, smooze	parties, partying, yachts, cocktails, hedonism, excess, cocktail parties 		playboy, hedonist	hedonistic, privileged, well-heeled, laidback	drink_with	are_welcomed_by, are_escorted_by	are_ejected_by
patenting new technologies	admire, respect	patent, copyright, trademark, share ideas, exchange ideas	new technologies, innovation, technology, invention, science, tech	luddites, luddism	pioneer, inventor, technologist, technology pioneer, innovator	inventive, innovative, pioneering	design_for, create_for, impress	invest_in, fund	fail_to_impress, copy, are_copied_by, imitate, are_imitated_by, sue, are_sued_by
paying kickbacks to the police chief	hate, despise, dislike, disrespect	bribe, corrupt, buy off, pay off	kickbacks, bribery, corruption,  immorality, corrupt cops, bribes	honest cops, sting operations	crooked politiciian, machine politician	corrupt, manipulative, corrupting, corrosive	conspire_with, collude_with	buy_off, bribe, blackmail	are_reported_by
peacocking in fancy clothes	laugh_at	prance, strut, flounce, show off, boast, model, 	clothes, fashion, glamor, glamour, haute couture, high fasion, dressing up, fashion shows, catwalks	polyester, slobs, 	peacock, fashion model, clothes horse	fashionable, preening, narcissistic	style_for, dress, pose_for	compete_with	are_booed_by, are_heckled_by, condescend_to, fail_to_impress
pedalling engine-less cars	laugh_at	pedal, ride a bike	pedalling, self-propulsion	internal combustion, gasoline, petrol, petroleum, diesel, emissions, pollution, 	caveman, cave man, neanderthal	primitive, unsophisticated, 	travel_with, accompany	drive_for, are_driven_around_by	
performing moon walks	admire	moonwalk, moon walk	moonwalking, moonwalks, moon walking, dancing, shimmying		moon man, smooth criminal, moonwalker, moon walker	adventurous, dashing, intrepid	travel_with, accompany		abandon, are_abandoned_by
performing household chores	pity	do housework, perform housework, clean, 	household chores, drudgery, housekeeping, vacuum cleaners, menial duties, clean floors, dusting, feather dusters	dirty footprints, dirt, dust bunnies	drudge, housekeeper, servant, maid	menial, houseproud, house proud	cook_for	work_with	are_pushed_too_far_by
performing kung-fu moves	admire, respect	kick, punch, high kick, chop, 	kungfu, kung fu, martial arts, judo, karate, black belts, blackbelts		kung-fu fighter, kungfu fighter, martial artist	agile, athletic, balletic, limber, deadly	are_impressed_by, fight_with		fight_against, are_beaten_by
performing magic tricks	admire, respect	conjure, trick, fool	magic tricks, conjuring, card tricks, coin tricks, magic wands, white doves, tophats, top hats, white rabbits, hocus pocus, abracadabra, abra cadabra, false bottoms		magician, conjurer, stage magician, illusionist 	magical, tricky, 	enchant, are_enchanted_by	mystify, are_mystified_by, entertain	fail_to_impress, copy, are_copied_by, imitate, are_imitated_by
performing motorcycle stunts	admire, respect, praise	impress, jump, thrill, leap	motorcycle stunts, stunts, spectacle		stuntman, stunt man, daredevil	daring, bold, brave, foolhardy, reckless	impress	entertain	fail_to_impress, copy, are_copied_by, imitate, are_imitated_by
performing office chores	disrespect, laugh_at, pity, tune_out	push paper, do paperwork, fill out forms	office chores, paper pushing, pushing paper, bureaucracy, office work, office supplies	red tape, 	bureaucrat, office worker, salary man, salaryman, white-collar worker, corporate drone, paper pusher	officious, bureaucratic, 	work_with	report_to	are_disciplined_by, fail_to_deliver_for, fail_to_impress, are_overworked_by, are_underappreciated_by, are_supplanted_by
performing physical therapy	respect	exercise, keep fit, work out, get fit, get better, get well	physical therapy, physio, physiotherapy, working out, exercise	laziness, couch potatoes, 	physiotherapist, physical therapist	therapeutic, 		are_coached_by	are_pushed_too_far_by
performing serious acting	respect, admire	act, pretend, imitate, impersonate, portray	serious acting, method acting, oscars, academy awards	ham acting, 	actor, thespian, oscar winner	serious, grandiloquent, pompous	compete_with	are_mentored_by	are_upstaged_by, upstage
performing stand-up	laugh_at	tell jokes, make jokes, amuse, joke, tickle	stand up, standup, comedy, laughter, obsrvational comedy, jokes, wit, humor, humour	seriousness, solemnity, heckling, hecklers	stand-up comic, standup comic, stand-up comedian, standup comedian, standup, stand-up	witty, funny, jokey, joky, comical, comedic, observant	compete_with	are_mentored_by	are_upstaged_by, upstage
performing street magic	respect	conjure, trick, fool, amuse, mystify	street magic, close-up magic, closeup magic, coin tricks, card tricks, misdirection		street magician, magician, conjurer, street performer	magical, tricky, entertaining, dextrous	enchant, are_enchanted_by	mystify, are_mystified_by, entertain	fail_to_impress, copy, are_copied_by, imitate, are_imitated_by
performing Web searches	trust	search, retrieve, browse, search for	Google, Bing, web searches, search engines, web queries		web browser, web searcher	probing, searching, inquisitive, curious	search_for, read_about	ask_questions_for, study	stalk
phoning home	identify_with	phone, use the phone, use a phone	phonecalls, homesickness, phone calls  	loneliness	caller, traveller, traveler	homesick	talk_to	take_messages_for	
picking pockets	dislike, disrespect, distrust	steal, rob, steal from, mug,	wallets, thieving, 	cops, 	pickpocket, thief, robber	thieving, deft, nimble-fingered, sneaky	conspire_with, collude_with	are_mentored_by	steal_from, are_reported_by
picking weird children names	laugh_at, joke_about, satirize, defend, forgive	name, christen	weird names, baby names		weirdo, oddball, parent, new-age parent, hippy, hippie, bohemian	new-age, hip, chic			are_named_by
piloting a spaceship	admire	pilot, fly, maneouvre, maneuver	spaceships, space travel, outer space, space ships, rockets, rocketry, interstellar travel, lightspeed, light speed, rocket fuel		space pilot, astronaut, pilot	capable, dashing	travel_with, accompany	drive_for	are_driven_around_by
piloting the lunar module	admire	pilot, fly, maneouvre, maneuver	space travel, moonshots, lunar orbit, lunar modules, moon landings, moon walks, moonwalks, Apollo 11, Apollo missions, mission control		space pilot, astronaut, pilot	adventurous, dashing	travel_with, accompany	drive_for	are_driven_around_by
piloting the Millenium Falcon	admire, follow	pilot, fly, maneouvre, maneuver	spaceships, space travel, outer space, space ships, interstellar travel, lightspeed, light speed, hyperspace	imperial stormtroopers, imperial storm-troopers	space pilot, astronaut, pilot	roguish, dashing, 	travel_with, accompany	drive_for	are_driven_around_by
pinching pennies	resent, laugh_at, dislike, distrust	save money, cut spending, cut back	penny pinching, savings, bargains, sales, Goodwill stores, junk stores, discount stores, bargain bins, bargain basements	luxury, excess, lavishness, big spenders, blow outs,	penny pincher, pennypincher, miser, tightwad	thrifty, tight, tight-fisted, mean, grasping, miserly, ungenerous	complain_to	refuse_to_pay	lend_to, are_underpaid_by
watching the sun rise	identify_with	not sleep, stay awake	sun rises, sunrises, dawn, first light	insomnia	nightowl, niteowl, night owl, night person, insomniac	romantic, awestruck, sentimental	live_with, drink_with		
pioneering new technologies	admire, respect, look_up_to	pioneer, invent, innovate, exchange ideas	new technologies, innovation, technology, invention, science, tech, breakthroughs, ideas, modern miracles	luddites, luddism	technologist, tech evangelist, technology pioneer, inventor, tech pioneer, technology pioneer, tech innovator, technology guru	inventive, innovative, pioneering, audacious	design_for, create_for, impress, pitch_at	invest_in, fund	fail_to_impress, copy, are_copied_by, imitate, are_imitated_by, sue, are_sued_by
piquing public interest	defend	attract, pique, interest, lure	scandals, sensation, hype, spin, sensationalism, spectacle, public interest, gossip, public image, fame, repute, reputation, public eye	notoriety, infamy	sensationalist, promoter, public figure, enigma	sensational, promotional, self-promoting, enigmatic	speak_via, speak_through	are_popularized_by, popularize, are_marketed_by	spread_lies_about
plagiarizing political speeches	criticize, mock, chastise,satirize	copy, plagiarise, plagiarize, pirate, rip off	plagiarism, oratory, rhetoric, unoriginality, political speeches	originality	politician, orator, plagiarist	unoriginal, derivative	write_for	propagandize_for, are_defended_by	copy, are_copied_by, imitate, are_imitated_by, are_sued_by
planning adultery	criticize, chastise, defend	cheat, have an affair, fool around	adultery, cheating, affairs, playing away	celibacy, monogamy	adulterer, cheat, philanderer, cad, tomcat, tom cat, alley cat	adulterous, faithless, dissatisfied, unsatisfied, roving, restless	drink_with	are_corrupted_by	are_blackmailed_by
planning assassinations	fear, hate, despise, curse	assassinate, take out	assassination, assassins, contract killings, political targets	democracy, rule of law	assassin, contract killer	lethal, murderous, clinical, ruthless	conspire_with, collude_with	take_aim_at	are_targeted_by
planning confidence tricks	dislike, resent	trick, defraud, fool, deceive, manipulate, con, take advantage	confidence tricks, trickery, scams, swindles, con jobs, conjobs, dishonesty, fraud, deception, deceit, hucksterism, Ponzi schemes, pyramid schemes	bunko squad, fraud squad	conman, con man, confidence trickster, swindler, scammer, scamster, huckster	dishonest, deceptive,  crooked	conspire_with, collude_with	learn_from, study_under, are_mentored_by	cheat, are_cheated_by, are_used_by, trick, are_tricked_by
planning orgies	laugh_at	sleep with, sleep around, fuck, screw, get laid	orgies, sex, group sex, sexuality, satyrs, libido, lust, Viagra, sexual abandon, 	celibacy, impotence	lecher, satyr, nympho, nymphomaniac	priapic, lecherous, libidinous, horny	welcome	are_corrupted_by	are_blackmailed_by
planning tank battles	admire	command, smash, demolish, roll over, trample, strategize, strategise	battle, tanks, artillery, armor plating, armour plating, combat, armor piercing shells, armour piercing shells,  gun turrets, tank shells, caterpillar tracks	infantry battles, air battles	commander, tank commander, general, battlefield commander	strategic, tactical, commanding	are_commanded_by, command	lose_to, defeat, are_defeated_by	are_disobeyed_by, fight_against
playing aggressive chess	admire, 	beat, defeat, pin, checkmate, corner, pin down , sacrifice	chess, aggression, gambits, checkmate, check mate, checkered boards, rooks, forced mates, speed chess	stalemate, ludo, checkers, 	chess player, grand master, grandmaster	aggressive, strategic, tactical	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing Baccarat	respect	gamble, win at cards, play cards, bet	casinos, Baccarat, gambling, martinis, card dealers, card games, 		card player, gambler, Baccarat player, cards player	sophisticated, glamorous, suave, 	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing baseball	admire, respect	play, compete, score	baseball, home runs, batters, catchers, mitts, short stops, base runs, loaded bases, pinch hitters, outfield, major leagues, minor leagues	strike outs, strikeouts	baseball player, baseballer, sportsman	sporty, athletic, competitive	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing basketball	admire, respect	play, dunk, compete, score	basketball, dunking, dunk shots, rim shots, rebounds		baseball player, baseballer, sportsman	sporty, athletic, competitive	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing camp villains	laugh_at	mince, menace, portray, scheme, connive	villainy, campness, over-acting, ham acting, secret lairs, British accents, underground lairs	subtlety, realism, naturalism, method acting, James Bond	actor, thespian	camp, villainous, moustache-twirling, mustache-twirling, fey, over-the-top	perform_with		upstage, are_upstaged_by
playing classical piano	admire, respect	play the piano, play piano	classical piano, piano, sonatas, 	rock piano, prog rock	classical pianist, pianist, piano player, classical musician, musician	nimble-fingered, musical, classical	play_with		upstage, are_upstaged_by
playing drums	respect	play drums, play the drums	drums, percussion, drum sticks, drumsticks, cymbals		drummer, drums player, musician, percussionist	loud, rhythmic, percussive	play_with		upstage, are_upstaged_by
playing everyman characters	admire, respect	emote, act	everyman, empathy, recognizability, recognition, identifiability, realism, universality		actor, everyman	versatile, identifiable, sympathetic, empathic, empathetic, universal	play_with		upstage, are_upstaged_by
playing God	resent, dislike, curse, despise, forgive, condemn, denounce	control, dominate, manipulate, sacrifice	megalomania, egomania, God complex, solipsism, narcissism, 	humility, modesty, 	megalomaniac, mad scientist, egomaniac, new Prometheus	arrogant, messianic, megalomaniacal, heretical, solipsistic	are_molded_by, look_up_to	are_mentored_by	disillusion, 
playing golf	laugh_at, tune_out	play golf, win at golf	golf, putting, putters, hole in one, eighteen holes, tee times		golfer, golf player	conservative	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing grungy music	dislike, listen_to	play grunge, whine, complain, moan, howl	grunge, punk, angst, gloom, primal screams, melancholy, pessimism, depression, grungy music, grunge music	optimism, laughter, joy, 	rocker, rock musician, grunge musician, musician	grungy, gritty, angsty, angstridden, angst-ridden,	play_for, sing_with, play_with	upstage, are_upstaged_by	break_with
playing guitar	admire, listen_to	play guitar, play the guitar	guitars, chords, guitarists, plectrums	broken strings	guitarist, guitar player, musician	nimble-fingered, musical	play_for, sing_with, play_with	upstage, are_upstaged_by	break_with
playing ice hockey	admire	skate, play	ice hockey, Zamboni, hockey sticks, hockey pucks	sin bins	hockey player, ice hockey player	aggressive, slick	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing intense characters	admire, respect, look_up_to	portray, convince, emote, act	intensity, passion, histrionics, depth of feeling, drama, angst, method acting	insipidness, shallowness, 	actor, method actor	intense, passionate, dramatic, histrionic	perform_with		upstage, are_upstaged_by
playing James Bond	admire, respect	charm, seduce	gadgets, fast cars, Bond girls, tuxedos, licence to kill, license to kill, camp villains, martinis		action hero, action star, action man	suave, sophisticated, charming, sartorial, well-dressed, sharp-suited	perform_with		upstage, are_upstaged_by
playing jazz saxophone	respect, listen_to	play saxaphone, play the saxophone, play jazz	jazz, saxophones, saxophonists		jazz musician, jazz player, jazz saxophonist, saxophonist	jazzy, smooth, musical, sultry	play_for,  play_with	upstage, are_upstaged_by	break_with
playing jazz trumpet	respect, listen_to	play the trumpet,  play  trumpet, play jazz	jazz, trumpets, trumpeters		jazz musician, jazz player, jazz trumpeter, trumpeter	jazzy, smooth, musical, sultry	play_for,  play_with	upstage, are_upstaged_by	break_with
playing poker badly	laugh_at, tune_out	lose at cards, lose money	poker, card games, poker hands, gambling, royal flushes, ful houses, four of a kind, three of a kind, two pairs, 	poker faces, poker tells	poker player, gambler, 	unwise, transparent, unstrategic	play_with, play_against	lose_to, defeat, are_defeated_by	underestimate, are_underestimated_by
playing pop music	disrespect, dislike	listen to, groove to, dance to	pop music, pop, pop stars, pop charts, iTunes	opera, 	pop star, pop musician, popster	popular,	listen_to, chat_with		argue_with
playing pranks	dislike, despise, disrespect	fool, prank, make fun, joke, jest, hoax	pranks, practical jokes, pranksters, mischief, harmless fun		prankster, practical joker	mischievous, pranking, annoying	trick, cause_troble_for		are_tricked_by
playing quidditch	avoid, take_aim_at	play quidditch	quidditch, Hogwarts, golden snitches, broomsticks	muggles	public schoolboy, public schoolgirl, public schoolchild, public schooler	privileged	play_with, compete_with		play_against, compete_against
playing rock guitar	respect, listen_to	play the guitar, play guitar, play rock	rock music, rockers, rhythm guitars, electric guitars, amplifiers, hair metal, heavy metal, rock and roll, air guitar, guitar heroes		rock guitarist, rock musician, rocker, rock star, guitarist, guitar hero	loud, rhythmic, rocking	play_with, perform_with		upstage, are_upstaged_by
playing rock music	respect, listen_to	play rock	rock music, rockers, electric guitars, amplifiers, hair metal, heavy metal, rock and roll, glam rock, air guitar		rock musician, rocker, rock star, musician	loud, rhythmic, rocking	play_with, perform_with		play_against, compete_against
playing rock piano	respect, listen_to	play the piano, play piano, play rock	rock piano, rock and roll, rock opera, bohemian rhapsody, prog rock, concept albums	classical piano, 	rock pianist, rock musician, rocker, rock star, pianist	loud, rhythmic, rocking	play_with, perform_with		play_against, compete_against
playing soccer	admire, respect	play soccer, win at soccer	soccer, football, FIFA, world cup, Manchester United, Real Madrid		soccer player, football player, footballer	athletic, sporty, sporting	play_with, compete_with		play_against, compete_against
playing the banjo	laugh_at	play banjo, play the banjo	banjos, hillbillies, rednecks,  inbreeding, in-breeding		banjo player, musician, redneck, hillbilly, bumpkin	rural, inbred	play_with, perform_with		upstage, are_upstaged_by
playing the clarinet	respect, listen_to	play clarinet, play the clarinet	clarinet, clarinetists		clarinet player, musician, clarinetist	jazzy, smooth, musical	play_with, perform_with		upstage, are_upstaged_by
playing the organ	respect, listen_to	play the organ	church organ, organ music, church music, fugues,		organist, organ player, musician, church musician	musical, devout, religious	play_with, perform_with		upstage, are_upstaged_by
playing the piano	respect, listen_to	play piano, play the piano	piano, pianists, Steinways, baby grands		pianist, piano player, musician, keyboardist	musical, nimble-fingered	play_with, perform_with		upstage, are_upstaged_by
playing the saxophone	respect, listen_to	play saxaphone, play the saxaphone	saxophones, saxophonists, smooth jazz, jazz		saxophonist, saxophone player, musician	jazzy, smooth, musical, sultry	play_with, perform_with		upstage, are_upstaged_by
playing the trumpet	respect, listen_to	play trumpet, play the trumpet	trumpets, trumpeters		trumpeter, trumpet player, musician	musical, loud	play_with, perform_with		upstage, are_upstaged_by
playing the violin	respect, listen_to	play violin, play the violin	violins, violinists		violinist, violin player, musician	musical	play_with, perform_with		upstage, are_upstaged_by
playing tough guys	admire, look_up_to	intimidate, threaten, menace	toughs, machismo, square jaws, fists, cynicism, toughness, gruffness, trenchcoats, trench coats	glass jaws	actor, heavy	tough, gnarly, intimidating, hardboiled	perform_with	are_mistaken_for, threaten, intimidate	upstage, are_upstaged_by, copy, are_copied_by, imitate, are_imitated_by, impersonate
plotting against family members	dislike, disrespect, denounce, condemn	plot, betray, scheme, conspire	family plots, sibling rivalry, succession planning, Oedipus complex, fraticide, patricide, matricide		family plotter, black sheep, black sheep of the family	conspiratorial, resentful, bitter	conspire_with, collude_with	are_mentored_by, seek_advice_from, are_inspired_by	lead_astray
plotting criminal schemes	dislike, disrespect, denounce, condemn, hate	plot, scheme, hatch, conspire	criminality, cunning, conspiracies, organized crime, organised crime, Ponzi schemes, pyramid schemes, extortion, numbers rackets, blackmail, heists, bank robberies, bank jobs, bank heists		plotter, conspirator, schemer, mastermind, criminal mastermind, ringleader	conspiratorial, scheming, strategic	conspire_with, collude_with		betray, are_betrayed_by, snitch_on
plotting election strategies	defend,	plot, scheme, hatch, 	sephology, electioneering, political machines, machinations, political strategies, tactical voting, dirty tricks, negative campaigning, election strategies, vote rigging, ballot stuffing, polling, going negative		political strategist, election strategist, strategist, electioneer, sephologist, pollsters	strategic, political, plotting, shrewd	run_against, campaign_against	cause_trouble_for, brief_against	spy_on
plotting mutinies	forgive, defend, agree_with	rebel, revolt, rise up, mutiny, rise against	mutiny, insurrection, uprising		mutineer, subversive, dissenter, malcontent  	mutinous, dissatisfied, overworked, dissenting, subversive	conspire_with, collude_with	are_roused_by, answer_to, are_encouraged_by, are_motivated_by	betray, are_betrayed_by, snitch_on
plotting strategies	agree_with	plot, scheme, strategize, strategise, anticipate problems	strategy, tactics, planning, strategic planning, strategic thinking, tactical advantages, strategic advantages	fog of war	strategist, tactician, plotter	strategic, plotting, tactical	learn_from, study_under	are_mentored_by, seek_advice_from, are_inspired_by, answer_to	struggle_against
plotting terrorist outrages	hate, despise, condemn, denounce, renounce, curse	terrorize, terrorise, destroy, blow up, demoralise, demoralize	terrorism, outrages, mayhem, explosions, atrocities, suicide bombings, sucide bombers, 	counter-terrorism, counterterrorism, national security, homeland security	plotter, conspirator, terrorist, terrorist mastermind, evil mastermind, mastermind, 	wicked, terrorizing, plotting, evil, terrorising, murderous	kill_for, die_for	are_mentored_by, seek_advice_from, are_inspired_by, are_roused_by, answer_to, are_encouraged_by, are_motivated_by, report_to	
plotting with the enemy	hate, despise, condemn, denounce, renounce, curse, distrust	plot, betray, scheme, conspire	treachery, treason, betrayal, disloyalty	loyalty, patriotism, 	turncoat, traitor, betrayer, double agent, spy, inside man	traitorous, treacherous, untrustworthy, underhand, compromised, treasonous	conspire_with, collude_with	answer_to	betray, are_betrayed_by, snitch_on
podcasting about movies	tune_out	podcast, blog	podcasts, podcasting, movie trivia, geekdom, film reviews, film criticism, movie reviews		movie critic, film critic, film fan, movie fan, podcaster	opinionated	interview, are_interviewed_by	share_stories_with	compete_with
poisoning an apple	dislike, despise, distrust	poison	poison, venom, toxins, food poisoning, poisoned apples	antitoxin, antivenom	poisoner	poisonous, venomous, deadly	cook_for		
popping amphetamines	dislike, distrust	take drugs, pop pills, do speed	amphetamines, speed, meth, crystal meth, uppers		pill popper, drug addict, meth head, 	addicted, high, on speed, amped up	buy_from	are_supplied_by	become_dependent_upon
popping Viagra	laugh_at, joke_about, pity	get hard, get stiff	Viagra, priapism, erections, potence, aphrodisiacs	impotence, erectile dysfunction, limp noodles	satyr, lecher	priapic, horny, libidinous	buy_from	are_supplied_by	become_dependent_upon
posing as a street thug	laugh_at, disrespect, dislike, resent	intimidate, threaten, menace	thuggery, toughness, gruffness, street gangs,  juvenile delinquency, juvenile delinquents, vandalism, grafitti		pretender, phony	thuggish, threatening, violent, puffed up		are_mistaken_for, threaten, intimidate	
posing pointed questions	admire, respect	question, interrogate	pointed questions, interrogation, inquisition, tough questions, trick questions	rhetorical questions, softball questions	interviewer, questioner, inquisitor, interrogator	pushy, pointed, incisive, probing	interview, are_interviewed_by	ask_questions_for	are_answered_by
posing riddles	question	riddle, challenge, mystify, puzzle	riddles, conundrums, word games, puzzlers, word puzzles		riddler	enigmatic, mysterious, 	mystify, are_mystified_by	are_answered_by, play_with	
postulating bizarre theories	question, laugh_at, distrust, tune_out	explain, explain away, extrapolate	conspiracy theories, bizarre theories, pseudoscience, weird science, wild theories	rationality, received wisdom	conspiracy theorist, mad scientist, theorist, crank, crackpot, crack pot, kook	speculative, unhinged, bizarre, deluded, delusional, unbelievable	read_the_works_of, believe_in	shill_for, propagandize_for	lose_favor_with
pouting on camera	dislike	pout, prance, strut	pouting		poseur	photogenic, pouty		are_photographed_by	
practicing good skin care	admire, respect	exfoliate, buff, cleanse	skincare, skin care, skin cream, skin lotion, 	zits, acne, wrinkles, liver spots, blackheads	narcissist, metrosexual	metrosexual, feminine	are_impressed_by	praise, seek_advice_from	are_disfigured_by
practicing insincerity	distrust	fake, pretend, dissemble	insincerity, hypocrisy	sincerity	pretender, phony, fraud, hypocrite	insincere, untrustworthy, shallow		lie_for	lie_to, are_deceived_by
practicing the Occult	distrust, dislike, fear	mystify, curse, 	occultism, magic, esoteria, witchcraft, sorcery, dark arts, eye of newt, potions, magic spells, hocus pocus		occultist	esoteric	mystify, are_mystified_by, sacrifice_to, worship_with, pray_with	study_under, learn_from, are_brainwashed_by	sacrifice
preaching to presidents	respect, believe_in, defend	preach, lecture, preach to, lecture to	preaching, sermons, 		preacher	preachy, sonorous		disagree_with	preach_to, lecture_to, are_contradicted_by
preaching tolerance	believe_in, support	tolerate, forgive, accept, build bridges	tolerance, forgiveness, 	intolerance, zero tolerance	preacher, campaigner, reformer	preachy, sonorous, eloquent	agree_with, look_up_to	are_inspired_by	hate
predicting the future	laugh_at, distrust, disagree_with, 	predict, foretell, forecast, spoof, see the future, anticipate	predictions, forecasting, crystal balls, fortune telling, precognition, the future, futurism		forecaster, fortune teller, futurist	forward-looking, predictive, 			disagree_with, are_contradicted_by, fail_to_impress
preparing for the apocalypse	respect, defend	stock up, stockpile, stockpile	survivalism, fallout shelters, fall-out shelters, underground bunkers, radiation shelters, stockpiles, apocalypse, global destruction, end of days, survival	optimism	survivalist	prepared, gloomy, depressed, 	are_instructed_by, instruct, are_influenced_by	are_roused_by,  are_encouraged_by, are_motivated_by	
preparing for war	respect, defend	arm, gird, mobilize, mobilise	war preparations, war readiness, arms races, armaments, munitions, bomb shelters, troop movements, powder keg	disarmament, peace treaties	warrior, soldier	prepared, gloomy, hawkish, apocalyptic	seek_advice_from, consult_with, confer_with	are_roused_by,  are_encouraged_by, are_motivated_by	
pretending to fight	laugh_at, disrespect	pretend, prance, strut, shadow box, play act, playact	sparring, shadow boxing, play acting, phony war	bloodshed, authenticity	pretender, phony	phony			are_challenged_by, fight_with
pretending to wrestle	laugh_at, disrespect	play act, playact, act, 	"wrestling, pro-wrest;ing, professional wrestling, grappling, wrestling holds, "	bloodshed, authenticity	wrestler, goon	phony, scripted	are_scripted_by	coach, are_coached_by	are_challenged_by, fight_with
